11111 0          11323 80         11535 2000       12151 a          12363 adatte     12615 agire      
11256 65         11512 1965       12124 :(         12336 acida      12552 agenda     13164 altare     
11261 66         11513 1970       12125 :-(        12341 acide      12553 agende     13165 altari     
11262 67         11514 1975       12126 :)         12342 acidi      12554 agente     13166 alte       
11263 68         11515 1980       12131 :-)        12343 acido      12555 agenti     13211 alti       
11264 69         11516 1985       12132 ";"        12344 acqua      12556 aggira     13212 alto       
11265 70         11521 1990       12133 ?          12345 acque      12561 aggiri     13213 altra      
11266 71         11522 1991       12134 ??         12346 acuta      12562 aggiro     13214 altre      
11311 72         11523 1992       12135 ???        12351 acute      12563 aghi       13215 altri      
11312 73         11524 1993       12136 @          12352 acuti      12564 agi        13216 altro      
11313 74         11525 1994       12141 +          12353 acuto      12565 agiata     13221 altrui     
11314 75         11526 1995       12142 ++         12354 ad         12566 agiate     13222 altura     
11315 76         11531 1996       12143 +++        12355 adagi      12611 agiato     13223 alture     
11316 77         11532 1997       12144 =          12356 adagia     12612 agile      13224 alunna     
11321 78         11533 1998       12145 ==         12361 adagio     12613 agili      13225 alunne     
11322 79         11534 1999       12146 ===        12362 adatta     12614 agio       13226 alunni


     
13231 alunno     13443 andare     13655 aq         14311 arrivi     14523 aurore     15135 badino     
13232 alza       13444 andata     13656 aquila     14312 arrivo     14524 auto       15136 bado       
13233 alzai      13445 andate     13661 aquile     14313 arroga     14525 automa     15141 baffi      
13234 alzano     13446 andati     13662 ar         14314 arrogo     14526 automi     15142 baffo      
13235 alzare     13451 andato     13663 ara        14315 arrota     14531 autore     15143 bagna      
13236 alzata     13452 andava     13664 arai       14316 arroti     14532 autori     15144 bagnai     
13241 alzate     13453 andavi     13665 arammo     14321 arte       14533 av         15145 bagni      
13242 alzato     13454 andavo     13666 arance     14322 arti       14534 avalla     15146 bagno      
13243 alzava     13455 andrai     14111 arando     14323 arto       14535 avallo     15151 baia       
13244 alzavi     13456 andrei     14112 arano      14324 as         14536 avanti     15152 baie       
13245 alzavo     13461 anelli     14113 arare      14325 ascia      14541 avanza     15153 balena     
13246 alzera     13462 anello     14114 arasse     14326 asili      14542 avanzi     15154 balene     
13251 alzero     13463 anfora     14115 arassi     14331 asilo      14543 avanzo     15155 baleni     
13252 alzi       13464 anfore     14116 araste     14332 asina      14544 avara      15156 baleno     
13253 alzino     13465 angeli     14121 arasti     14333 asine      14545 avare      15161 balia      
13254 alzo       13466 angelo     14122 arata      14334 asini      14546 avari      15162 balla      
13255 am         13511 angolo     14123 arate      14335 asino      14551 avaria     15163 ballai     
13256 ama        13512 anima      14124 arati      14336 asola      14552 avarie     15164 balli      
13261 amaca      13513 animai     14125 arato      14341 aspira     14553 avendo     15165 ballo      
13262 amache     13514 anime      14126 aratri     14342 aspiri     14554 avente     15166 balza      
13263 amai       13515 animi      14131 aratro     14343 aspiro     14555 avere      15211 balzi      
13264 amammo     13516 animo      14132 aravi      14344 aspra      14556 averla     15212 balzo      
13265 amando     13521 annate     14133 arcata     14345 aspre      14561 avesse     15213 banale     
13266 amano      13522 annega     14134 archi      14346 aspri      14562 avessi     15214 banali     
13311 amante     13523 annego     14135 arco       14351 aspro      14563 aveste     15215 banana     
13312 amanti     13524 anni       14136 ardore     14352 asse       14564 avete      15216 banane     
13313 amara      13525 annidi     14141 ardori     14353 assedi     14565 aveva      15221 banca      
13314 amare      13526 annido     14142 ardua      14354 assi       14566 avevi      15222 banche     
13315 amari      13531 anno       14143 ardue      14355 asso       14611 avida      15223 banchi     
13316 amaro      13532 annoda     14144 ardui      14356 associ     14612 avide      15224 banda      
13321 amasse     13533 annodi     14145 arduo      14361 assoda     14613 avidi      15225 bande      
13322 amassi     13534 annodo     14146 area       14362 assodi     14614 avido      15226 bandi      
13323 amaste     13535 annoi      14151 aree       14363 assodo     14615 avrai      15231 bandii     
13324 amasti     13536 annoia     14152 arerai     14364 assuma     14616 avrei      15232 bara       
13325 amata      13541 annoio     14153 arerei     14365 assume     14621 avuto      15233 barai      
13326 amate      13542 annota     14154 argina     14366 astri      14622 avvale     15234 barano     
13331 amato      13543 annoti     14155 argine     14411 astro      14623 avvera     15235 barare     
13332 amava      13544 annoto     14156 argini     14412 astuta     14624 avveri     15236 barata     
13333 amavi      13545 annusa     14161 argute     14413 astute     14625 avvero     15241 barate     
13334 amavo      13546 annusi     14162 arguti     14414 astuti     14626 avvia      15242 barati     
13335 ambito     13551 annuso     14163 arguto     14415 astuto     14631 avviai     15243 barato     
13336 amena      13552 ansia      14164 ari        14416 at         14632 avvii      15244 barava     
13341 amene      13553 ansie      14165 aria       14421 atleta     14633 avvino     15245 baravo     
13342 ameni      13554 ante       14166 ariamo     14422 atleti     14634 avvio      15246 barba      
13343 ameno      13555 antico     14211 ariate     14423 atomi      14635 avvisi     15251 barbe      
13344 amerai     13556 antri      14212 arida      14424 atomo      14636 avviso     15252 barca      
13345 amerei     13561 antro      14213 aride      14425 atri       14641 avvita     15253 barche     
13346 amiamo     13562 anzi       14214 aridi      14426 atrii      14642 avviti     15254 barero     
13351 amiate     13563 ao         14215 arido      14431 atroce     14643 avvito     15255 bari       
13352 amica      13564 ap         14216 arie       14432 atroci     14644 aw         15256 barile     
13353 amiche     13565 apatia     14221 arino      14433 attesa     14645 ax         15261 barili     
13354 amico      13566 apatie     14222 ariosa     14434 attese     14646 ay         15262 barino     
13355 ammaca     13611 ape        14223 ariose     14435 attesi     14651 az         15263 baro       
13356 ammaco     13612 aperse     14224 ariosi     14436 atti       14652 azioni     15264 baroni     
13361 ammala     13613 aperta     14225 arioso     14441 attimo     14653 b          15265 barra      
13362 ammali     13614 aperte     14226 arma       14442 attiri     14654 babbo      15266 barre      
13363 ammalo     13615 aperti     14231 armadi     14443 attiro     14655 bachi      15311 basa       
13364 ammira     13616 aperto     14232 armai      14444 attiva     14656 baci       15312 basare     
13365 ammiri     13621 api        14233 armano     14445 attive     14661 bacia      15313 basata     
13366 ammiro     13622 apice      14234 armare     14446 attivi     14662 baciai     15314 basate     
13411 amo        13623 apici      14235 armata     14451 attivo     14663 bacini     15315 basati     
13412 amore      13624 appaia     14236 armate     14452 atto       14664 bacino     15316 basato     
13413 amorfe     13625 appaio     14241 armati     14453 attore     14665 bacio      15321 basava     
13414 amorfi     13626 appare     14242 armato     14454 attori     14666 baco       15322 basavi     
13415 amorfo     13631 appari     14243 armava     14455 attua      15111 bada       15323 basavo     
13416 amori      13632 appena     14244 armavi     14456 attuai     15112 badai      15324 base       
13421 ampi       13633 appura     14245 armavo     14461 attui      15113 badano     15325 basera     
13422 ampie      13634 appuri     14246 armera     14462 attuo      15114 badare     15326 basero     
13423 ampio      13635 appuro     14251 armero     14463 au         15115 badata     15331 basi       
13424 ampli      13636 apra       14252 armi       14464 audace     15116 badate     15332 basino     
13425 amplia     13641 apre       14253 armino     14465 audaci     15121 badati     15333 bassa      
13426 amplio     13642 apri       14254 arnese     14466 augura     15122 badato     15334 basso      
13431 an         13643 aprii      14255 arnesi     14511 auguri     15123 badava     15335 basta      
13432 anatra     13644 aprile     14256 aro        14512 auguro     15124 badavi     15336 bastai     
13433 anatre     13645 aprilo     14261 aroma      14513 aula       15125 badavo     15341 basti      
13434 anca       13646 aprire     14262 aromi      14514 aule       15126 badera     15342 basto      
13435 anche      13651 aprite     14263 arpe       14515 auree      15131 badero     15343 batta      
13436 ancora     13652 apriva     14264 arreda     14516 aurei      15132 badi       15344 batte      
13441 ancore     13653 apro       14265 arredi     14521 aureo      15133 badile     15345 battei     
13442 andai      13654 aprono     14266 arredo     14522 aurora     15134 badili     15346 batti      



15351 batto      15563 blanda     16215 brune      16431 calava     16643 carine     21255 cenare     
15352 baule      15564 blande     16216 bruni      16432 calavi     16644 carini     21256 cenata     
15353 bauli      15565 blandi     16221 bruno      16433 calavo     16645 carino     21261 cenate     
15354 bava       15566 blando     16222 brusca     16434 calci      16646 carne      21262 cenati     
15355 bave       15611 blocca     16223 brusco     16435 calcio     16651 carni      21263 cenava     
15356 baveri     15612 blu        16224 bruti      16436 calco      16652 caro       21264 cenavi     
15361 bavero     15613 bm         16225 brutti     16441 calda      16653 carota     21265 cene       
15362 bb         15614 bn         16226 brutto     16442 calde      16654 carote     21266 cenera     
15363 bbb        15615 bo         16231 bs         16443 caldi      16655 carri      21311 cenere     
15364 bbbb       15616 bocca      16232 bt         16444 caldo      16656 carta      21312 ceneri     
15365 bc         15621 bocce      16233 bu         16445 cali       16661 carte      21313 ceni       
15366 bcd        15622 bocche     16234 buca       16446 calice     16662 casa       21314 cenni      
15411 bd         15623 bocci      16235 bucce      16451 calici     16663 caschi     21315 cenno      
15412 be         15624 boccia     16236 buccia     16452 calino     16664 case       21316 ceno       
15413 beata      15625 boccio     16241 buche      16453 calli      16665 casi       21321 cento      
15414 beate      15626 bolla      16242 buchi      16454 callo      16666 caso       21322 centri     
15415 beati      15631 bolle      16243 buco       16455 calma      21111 cassa      21323 centro     
15416 becchi     15632 bolli      16244 budini     16456 calmai     21112 casse      21324 cera       
15421 becco      15633 bollo      16245 budino     16461 calme      21113 casta      21325 cerca      
15422 beffa      15634 bomba      16246 bue        16462 calmi      21114 caste      21326 cerchi     
15423 beffe      15635 bombe      16251 bufera     16463 calmo      21115 casti      21331 cerco      
15424 bella      15636 bordi      16252 bufere     16464 calo       21116 casto      21332 cere       
15425 belle      15641 bordo      16253 buffa      16465 calore     21121 catena     21333 ceri       
15426 belli      15642 borghi     16254 buffi      16466 calori     21122 catene     21334 cerini     
15431 bello      15643 borgo      16255 buffo      16511 calva      21123 catini     21335 cerino     
15432 belva      15644 borie      16256 bugia      16512 calve      21124 catino     21336 cero       
15433 belve      15645 borsa      16261 bugie      16513 calvi      21125 causa      21341 certa      
15434 benda      15646 borse      16262 buio       16514 calvo      21126 causai     21342 certe      
15435 bendai     15651 boschi     16263 bulbi      16515 calza      21131 cause      21343 certi      
15436 bende      15652 botola     16264 bulbo      16516 calzai     21132 causi      21344 certo      
15441 bendi      15653 botole     16265 buoi       16521 calzi      21133 cauta      21345 cervi      
15442 bendo      15654 botta      16266 buona      16522 calzo      21134 caute      21346 cesoia     
15443 bene       15655 botte      16311 buone      16523 cambi      21135 cauti      21351 cessa      
15444 beni       15656 bozza      16312 buoni      16524 cambia     21136 cava       21352 cessai     
15445 beone      15661 bozze      16313 buono      16525 cambio     21141 cavai      21353 cesta      
15446 bere       15662 bp         16314 burla      16526 camera     21142 cavano     21354 cesti      
15451 bestia     15663 bq         16315 burlai     16531 camere     21143 cavare     21355 cetra      
15452 bestie     15664 br         16316 burle      16532 camini     21144 cavata     21356 cetre      
15453 beva       15665 bracco     16321 burli      16533 camino     21145 cavati     21361 cf         
15454 beve       15666 brace      16322 burlo      16534 campa      21146 cavato     21362 cg         
15455 bevete     16111 brama      16323 burro      16535 campai     21151 cavava     21363 ch         
15456 beveva     16112 brami      16324 bussa      16536 campi      21152 cavavi     21364 chi        
15461 bevi       16113 bramo      16325 bussi      16541 campo      21153 cavavo     21365 chiama     
15462 bevilo     16114 branca     16326 busso      16542 canale     21154 cave       21366 chiami     
15463 bevine     16115 branda     16331 busti      16543 canali     21155 cavoli     21411 chiamo     
15464 bevo       16116 brande     16332 busto      16544 canapa     21156 cavolo     21412 chiara     
15465 bevono     16121 brani      16333 butta      16545 canape     21161 cb         21413 chiare     
15466 bevuto     16122 brano      16334 buttai     16546 cane       21162 cc         21414 chiari     
15511 bf         16123 brava      16335 butti      16551 cani       21163 ccc        21415 chiaro     
15512 bg         16124 brave      16336 butto      16552 canile     21164 cccc       21416 chiave     
15513 bh         16125 bravi      16341 bv         16553 canili     21165 cd         21421 chiavi     
15514 bi         16126 breve      16342 bw         16554 canne      21166 cde        21422 chieda     
15515 bianca     16131 brevi      16343 bx         16555 canora     21211 ce         21423 chiede     
15516 bianco     16132 brezza     16344 by         16556 canore     21212 cede       21424 chiedo     
15521 bibbia     16133 brezze     16345 bz         16561 canori     21213 cedere     21425 chiesa     
15522 bibbie     16134 bricco     16346 c          16562 canoro     21214 cedola     21426 chiese     
15523 bibita     16135 brilla     16351 cabina     16563 canta      21215 cedole     21431 chiesi     
15524 bidone     16136 brilli     16352 cabine     16564 cantai     21216 cedono     21432 china      
15525 bidoni     16141 brillo     16353 cacao      16565 canti      21221 cedri      21433 chinai     
15526 biechi     16142 brina      16354 caccia     16566 canuta     21222 cedro      21434 chine      
15531 bile       16143 brinda     16355 caccio     16611 canute     21223 ceduta     21435 chini      
15532 bili       16144 brindi     16356 cadde      16612 canuti     21224 cedute     21436 chino      
15533 bimba      16145 brindo     16361 caddi      16613 canuto     21225 celai      21441 chiodi     
15534 bimbe      16146 brine      16362 cade       16614 capace     21226 celano     21442 chiodo     
15535 bimbi      16151 brio       16363 cadere     16615 capaci     21231 celare     21443 chioma     
15536 bimbo      16152 brocca     16364 cadeva     16616 capi       21232 celate     21444 chiome     
15541 binari     16153 brodi      16365 cadono     16621 capire     21233 celati     21445 chiuda     
15542 bionda     16154 brodo      16366 caduta     16622 capita     21234 celato     21446 chiude     
15543 bionde     16155 bronci     16411 cadute     16623 capito     21235 celava     21451 chiudi     
15544 biondi     16156 bronzi     16412 caduti     16624 capo       21236 celavi     21452 chiudo     
15545 biondo     16161 bronzo     16413 caduto     16625 capra      21241 celavo     21453 chiusa     
15546 birra      16162 bruci      16414 cagna      16626 capre      21242 celera     21454 chiusi     
15551 birre      16163 brucia     16415 cagne      16631 cara       21243 celere     21455 chiuso     
15552 bisca      16164 brucio     16416 cala       16632 care       21244 celeri     21456 ci         
15553 bisce      16165 bruco      16421 calai      16633 carena     21245 celibe     21461 cialda     
15554 bische     16166 brulla     16422 calano     16634 carene     21246 celibi     21462 cialde     
15555 biscia     16211 brulle     16423 calare     16635 cari       21251 celino     21463 ciao       
15556 bj         16212 brulli     16424 calata     16636 carica     21252 cella      21464 cibi       
15561 bk         16213 brullo     16425 calate     16641 carico     21253 celle      21465 cibo       
15562 bl         16214 bruna      16426 calati     16642 carina     21254 cena       21466 cicca      



21511 cicli      22123 colati     22335 corre      22551 cremi      23163 curva      23415 decisa     
21512 ciclo      22124 colato     22336 corri      22552 cremo      23164 curvai     23416 decise     
21513 cicuta     22125 colava     22341 corro      22553 creo       23165 curve      23421 decisi     
21514 cicute     22126 colavi     22342 corsa      22554 crepa      23166 curvi      23422 decori     
21515 cieca      22131 colavo     22343 corse      22555 crepe      23211 curvo      23423 decoro     
21516 cieche     22132 colera     22344 corsi      22556 crepi      23212 cute       23424 dedica     
21521 ciechi     22133 coli       22345 corsia     22561 crepo      23213 cv         23425 dedite     
21522 cieco      22134 colini     22346 corsie     22562 cresca     23214 cw         23426 dediti     
21523 cielo      22135 colino     22351 corso      22563 cresce     23215 cx         23431 dedito     
21524 cifra      22136 colla      22352 corte      22564 cresci     23216 cy         23432 dee        
21525 cifre      22141 colle      22353 cortei     22565 cresco     23221 cz         23433 def        
21526 cigli      22142 colli      22354 corteo     22566 crespa     23222 d          23434 degli      
21531 ciglie     22143 collo      22355 corto      22611 crespe     23223 dacci      23435 degna      
21532 ciglio     22144 colma      22356 corvi      22612 crespi     23224 dadi       23436 degnai     
21533 cigni      22145 colmai     22361 corvo      22613 crespo     23225 dado       23441 degne      
21534 cigno      22146 colme      22362 cosa       22614 cresta     23226 dagli      23442 degni      
21535 cigola     22151 colmo      22363 cosce      22615 creste     23231 dai        23443 degno      
21536 cigoli     22152 colo       22364 coscia     22616 creta      23232 daini      23444 dei        
21541 cigolo     22153 coloni     22365 cose       22621 crete      23233 daino      23445 delega     
21542 cima       22154 colore     22366 cosi       22622 crisi      23234 dalla      23446 delego     
21543 cime       22155 colori     22411 cosmi      22623 cristo     23235 dalle      23451 delira     
21544 cimici     22156 coloro     22412 cosmo      22624 croce      23236 dallo      23452 deliri     
21545 cinema     22161 colpa      22413 coso       22625 croci      23241 dama       23453 deliro     
21546 cinica     22162 colpe      22414 costa      22626 crolla     23242 dame       23454 delizi     
21551 cinici     22163 colpi      22415 costai     22631 crolli     23243 dammi      23455 della      
21552 cinico     22164 colpii     22416 coste      22632 crollo     23244 dannai     23456 deludo     
21553 cinque     22165 colse      22421 costei     22633 crosta     23245 danni      23461 delusa     
21554 cinse      22166 colta      22422 costo      22634 cruda      23246 danno      23462 deluso     
21555 cinta      22211 colti      22423 costui     22635 crudi      23251 danza      23463 demmo      
21556 cinto      22212 colto      22424 cotone     22636 crudo      23252 danze      23464 demoni     
21561 ciocca     22213 cometa     22425 cotta      22641 cruna      23253 danzi      23465 denari     
21562 cioche     22214 comete     22426 cotte      22642 crune      23254 darai      23466 denaro     
21563 cipria     22215 comica     22431 cotti      22643 crusca     23255 dare       23511 densa      
21564 ciprie     22216 comici     22432 cotto      22644 cs         23256 darei      23512 dense      
21565 circhi     22221 comico     22433 cova       22645 ct         23261 daremo     23513 denso      
21566 circo      22222 comizi     22434 covai      22646 cu         23262 dargli     23514 dente      
21611 cita       22223 comoda     22435 covano     22651 cubi       23263 darsi      23515 denti      
21612 citai      22224 comode     22436 covata     22652 cubo       23264 darti      23516 dentro     
21613 citano     22225 comodi     22441 covate     22653 cucina     23265 darvi      23521 denuda     
21614 citare     22226 comodo     22442 covati     22654 cucine     23266 data       23522 denudi     
21615 citata     22231 compie     22443 covato     22655 cucini     23311 datai      23523 denudo     
21616 citate     22232 compri     22444 covava     22656 cuculi     23312 datano     23524 depose     
21621 citati     22233 compro     22445 covavi     22661 cuffia     23313 datare     23525 depura     
21622 citato     22234 comune     22446 covavo     22662 cuffie     23314 datata     23526 depuro     
21623 citava     22235 comuni     22451 covi       22663 cugina     23315 datate     23531 deride     
21624 citavi     22236 concia     22452 covino     22664 cugine     23316 datati     23532 derido     
21625 citavo     22241 concio     22453 covo       22665 cugini     23321 datato     23533 derise     
21626 citi       22242 condii     22454 cozza      22666 cugino     23322 datava     23534 derisi     
21631 citino     22243 coni       22455 cozze      23111 culla      23323 datavi     23535 deriva     
21632 cito       22244 conia      22456 cozzi      23112 cullai     23324 datavo     23536 derivi     
21633 ciuffi     22245 coniai     22461 cozzo      23113 culli      23325 date       23541 derivo     
21634 ciuffo     22246 conio      22462 cp         23114 culto      23326 datelo     23542 deroga     
21635 ciurma     22251 cono       22463 cq         23115 cumulo     23331 datemi     23543 deruba     
21636 ciurme     22252 conta      22464 cr         23116 cuoca      23332 datevi     23544 derubi     
21641 civile     22253 contai     22465 crampi     23121 cuoche     23333 dati       23545 derubo     
21642 civili     22254 conte      22466 crampo     23122 cuochi     23334 datino     23546 desse      
21643 cj         22255 conti      22511 crani      23123 cuocia     23335 dato       23551 dessi      
21644 ck         22256 contro     22512 cranio     23124 cuoio      23336 datomi     23552 desta      
21645 cl         22261 copia      22513 crea       23125 cuore      23341 datosi     23553 destai     
21646 classe     22262 copiai     22514 creai      23126 cuori      23342 dava       23554 desti      
21651 classi     22263 copie      22515 creano     23131 cupa       23343 davamo     23555 desto      
21652 clero      22264 coppia     22516 creare     23132 cupe       23344 davano     23556 destra     
21653 clima      22265 coppie     22521 creata     23133 cupi       23345 davo       23561 desume     
21654 climi      22266 copra      22522 create     23134 cupo       23346 dazio      23562 desumi     
21655 cm         22311 copre      22523 creato     23135 cupola     23351 db         23563 desumo     
21656 cn         22312 copri      22524 creava     23136 cupole     23352 dc         23564 detta      
21661 co         22313 copro      22525 creavi     23141 cura       23353 dd         23565 dettai     
21662 coda       22314 corda      22526 creavo     23142 curai      23354 ddd        23566 dette      
21663 code       22315 corde      22531 crebbe     23143 curano     23355 dddd       23611 detti      
21664 codice     22316 cori       22532 crebbi     23144 curare     23356 de         23612 detto      
21665 codici     22321 corna      22533 creda      23145 curate     23361 dea        23613 deve       
21666 cofani     22322 corno      22534 crede      23146 curati     23362 debba      23614 devi       
22111 cofano     22323 coro       22535 credei     23151 curato     23363 debiti     23615 devo       
22112 coglie     22324 corona     22536 credi      23152 curava     23364 debito     23616 devono     
22113 cola       22325 corone     22541 credo      23153 curavi     23365 deboli     23621 devota     
22114 colai      22326 coroni     22542 crei       23154 curavo     23366 decani     23622 devote     
22115 colano     22331 corono     22543 creino     23155 cure       23411 decano     23623 devoti     
22116 colare     22332 corpi      22544 crema      23156 curi       23412 decide     23624 devoto     
22121 colata     22333 corpo      22545 cremai     23161 curino     23413 decidi     23625 df         
22122 colate     22334 corra      22546 creme      23162 curo       23414 decine     23626 dg         



23631 dh         24243 disti      24455 dorato     25111 durate     25323 emerge     25535 esatto     
23632 di         24244 disto      24456 dorma      25112 durati     25324 emergi     25536 esca       
23633 dia        24245 disuso     24461 dorme      25113 durato     25325 emergo     25541 esce       
23634 diamo      24246 dita       24462 dormi      25114 durava     25326 emerse     25542 esci       
23635 diano      24251 ditale     24463 dormo      25115 duravi     25331 emersi     25543 esco       
23636 diario     24252 dite       24464 dorsi      25116 duravo     25332 emerso     25544 escono     
23641 dica       24253 ditelo     24465 dorso      25121 dure       25333 emesso     25545 esegue     
23642 dicano     24254 ditemi     24466 dosa       25122 duri       25334 emette     25546 esenti     
23643 dicasi     24255 divaga     24511 dosai      25123 durino     25335 emigra     25551 esige      
23644 dicci      24256 divago     24512 dosano     25124 duro       25336 emigri     25552 esiguo     
23645 dice       24261 divani     24513 dosare     25125 dv         25341 emigro     25553 esile      
23646 diceva     24262 divano     24514 dosata     25126 dw         25342 emula      25554 esili      
23651 dicevo     24263 dive       24515 dosate     25131 dx         25343 emulai     25555 esilia     
23652 dici       24264 divide     24516 dosati     25132 dy         25344 emuli      25556 esilio     
23653 dico       24265 dividi     24521 dosato     25133 dz         25345 emulo      25561 esimi      
23654 dicono     24266 divina     24522 dosavi     25134 e          25346 en         25562 esimo      
23655 dieci      24311 divine     24523 dosavo     25135 eb         25351 enfasi     25563 esista     
23656 diede      24312 divini     24524 dosi       25136 ebano      25352 enigma     25564 esiste     
23661 diedi      24313 divino     24525 dosino     25141 ec         25353 enorme     25565 esiti      
23662 dieta      24314 divisa     24526 doso       25142 ecceda     25354 enormi     25566 esito      
23663 diete      24315 divise     24531 dota       25143 eccede     25355 ente       25611 esorti     
23664 dietro     24316 divisi     24532 dotai      25144 eccedi     25356 enti       25612 esorto     
23665 difesa     24321 divora     24533 dotano     25145 eccedo     25361 entra      25613 espia      
23666 difese     24322 divori     24534 dotare     25146 eccita     25362 entrai     25614 espiai     
24111 difesi     24323 divoro     24535 dotata     25151 ecciti     25363 entri      25615 espii      
24112 difeso     24324 dj         24536 dotati     25152 eccito     25364 entro      25616 espio      
24113 diga       24325 dk         24541 dotato     25153 ecco       25365 eo         25621 essa       
24114 digita     24326 dl         24542 dotava     25154 echi       25366 ep         25622 esse       
24115 digiti     24331 dm         24543 dotavi     25155 eco        25411 epica      25623 essere     
24116 digli      24332 dn         24544 dotavo     25156 ed         25412 epiche     25624 esseri     
24121 dilani     24333 do         24545 dote       25161 edera      25413 epici      25625 essi       
24122 dilati     24334 docce      24546 doti       25162 edere      25414 epico      25626 esso       
